data,ativo,tone,volume
2023-01-11,BTC,-1.0985,
2023-01-12,BTC,-0.3655,
2023-01-13,BTC,-0.9617,
2023-01-14,BTC,0.202,
2023-01-15,BTC,-0.0636,
2023-01-16,BTC,-1.4949,
2023-01-17,BTC,-0.8136,
2023-01-18,BTC,-1.3198,
2023-01-19,BTC,-1.1164,
2023-01-20,BTC,-1.4595,
2023-01-21,BTC,0.2341,
2023-01-22,BTC,-0.5503,
2023-01-23,BTC,-0.6181,
2023-01-24,BTC,-0.9097,
2023-01-25,BTC,-1.1785,
2023-01-26,BTC,-1.1326,
2023-01-27,BTC,-0.5989,
2023-01-28,BTC,-0.4885,
2023-01-29,BTC,-0.5235,
2023-01-30,BTC,-0.5384,
2023-01-31,BTC,-0.968,
2023-02-01,BTC,-1.6689,
2023-02-02,BTC,-0.6584,
2023-02-03,BTC,-1.469,
2023-02-04,BTC,-1.6764,
2023-02-05,BTC,-0.7622,
2023-02-06,BTC,-1.1243,
2023-02-07,BTC,-0.9901,
2023-02-08,BTC,-2.0106,
2023-02-09,BTC,-1.3394,
2023-02-10,BTC,-1.872,
2023-02-11,BTC,-0.8907,
2023-02-12,BTC,-1.3098,
2023-02-13,BTC,-0.6207,
2023-02-14,BTC,-0.6626,
2023-02-15,BTC,-0.2041,
2023-02-16,BTC,-0.9411,
2023-02-17,BTC,-1.3253,
2023-02-18,BTC,-1.3444,
2023-02-19,BTC,-0.1233,
2023-02-20,BTC,-0.9496,
2023-02-21,BTC,-0.4585,
2023-02-22,BTC,-0.4522,
2023-02-23,BTC,-0.644,
2023-02-24,BTC,-0.1882,
2023-02-25,BTC,-1.2512,
2023-02-26,BTC,-0.9616,
2023-02-27,BTC,0.0949,
2023-02-28,BTC,-1.1213,
2023-03-01,BTC,-0.2666,
2023-03-02,BTC,-0.9,
2023-03-03,BTC,-0.9993,
2023-03-04,BTC,-0.5315,
2023-03-05,BTC,-0.5665,
2023-03-06,BTC,-0.9398,
2023-03-07,BTC,-0.2005,
2023-03-08,BTC,-0.0057,
2023-03-09,BTC,-0.6737,
2023-03-10,BTC,-1.3815,
2023-03-11,BTC,-0.9551,
2023-03-12,BTC,-1.1487,
2023-03-13,BTC,-0.6733,
2023-03-14,BTC,-0.442,
2023-03-15,BTC,-0.8709,
2023-03-16,BTC,-0.7641,
2023-03-17,BTC,-1.5773,
2023-03-18,BTC,-1.2788,
2023-03-19,BTC,-0.9271,
2023-03-20,BTC,-0.6213,
2023-03-21,BTC,-0.5515,0.0969
2023-03-22,BTC,0.9981,0.4225
2023-03-24,BTC,-0.092,0.4002
2023-03-25,BTC,0.6689,0.5162
2023-03-26,BTC,0.7545,0.6599
2023-03-27,BTC,0.2996,0.4727
2023-03-28,BTC,-0.2107,0.303
2023-03-29,BTC,0.4961,0.275
2023-03-30,BTC,0.0771,0.329
2023-03-31,BTC,-0.5409,0.305
2023-04-01,BTC,0.8333,0.3798
2023-04-02,BTC,0.8358,0.5683
2023-04-03,BTC,0.5709,0.3944
2023-04-04,BTC,0.5747,0.3096
2023-04-05,BTC,0.6051,0.2923
2023-04-06,BTC,0.6657,0.3128
2023-04-07,BTC,0.6592,0.3949
2023-04-08,BTC,0.9593,0.5963
2023-04-09,BTC,0.9874,0.5226
2023-04-10,BTC,0.8032,0.5045
2023-04-11,BTC,0.5926,0.5074
2023-04-12,BTC,0.4741,0.4644
2023-04-13,BTC,0.8203,0.313
2023-04-14,BTC,0.5202,0.3556
2023-04-15,BTC,0.9082,0.3602
2023-04-16,BTC,0.6949,0.3641
2023-04-17,BTC,0.7764,0.376
2023-04-18,BTC,0.8836,0.368
2023-04-19,BTC,0.6343,0.3418
2023-04-20,BTC,0.5387,0.3302
2023-04-21,BTC,0.5998,0.331
2023-04-22,BTC,0.6071,0.2114
2023-04-23,BTC,0.8743,0.4379
2023-04-24,BTC,0.6045,0.3227
2023-04-25,BTC,0.6301,0.3693
2023-04-26,BTC,0.514,0.3334
2023-04-27,BTC,0.5489,0.3199
2023-04-28,BTC,0.2813,0.3338
2023-04-29,BTC,0.8405,0.4411
2023-04-30,BTC,0.9191,0.5249
2023-05-01,BTC,0.5661,0.4318
2023-05-02,BTC,0.5754,0.279
2023-05-03,BTC,0.1929,0.3456
2023-05-04,BTC,0.4233,0.3755
2023-05-05,BTC,-0.0025,0.3417
2023-05-06,BTC,0.7518,0.3703
2023-05-07,BTC,0.7431,0.5152
2023-05-08,BTC,-0.1741,0.3649
2023-05-09,BTC,-0.0802,0.2908
2023-05-10,BTC,-0.3865,0.414
2023-05-11,BTC,0.2405,0.2906
2023-05-12,BTC,0.255,0.2487
2023-05-13,BTC,0.9987,0.3643
2023-05-14,BTC,0.9292,0.4592
2023-05-15,BTC,-0.0203,0.3487
2023-05-16,BTC,0.4854,0.409
2023-05-17,BTC,0.7423,0.3979
2023-05-18,BTC,0.6873,0.277
2023-05-19,BTC,0.2231,0.4409
2023-05-20,BTC,0.9503,0.4871
2023-05-21,BTC,0.8043,0.5235
2023-05-22,BTC,0.6229,0.3773
2023-05-23,BTC,0.4774,0.2785
2023-05-24,BTC,0.5966,0.2644
2023-05-25,BTC,0.4206,0.3362
2023-05-26,BTC,0.7148,0.219
2023-05-27,BTC,0.8547,0.4129
2023-05-28,BTC,0.8877,0.3657
2023-05-29,BTC,0.7773,0.3511
2023-05-30,BTC,0.4545,0.2518
2023-05-31,BTC,0.8193,0.3477
2023-06-01,BTC,0.674,0.3633
2023-06-02,BTC,0.8593,0.3159
2023-06-03,BTC,0.946,0.3588
2023-06-04,BTC,0.6851,0.4841
2023-06-05,BTC,-0.6802,0.2969
2023-06-06,BTC,-0.4529,0.3812
2023-06-07,BTC,0.2388,0.358
2023-06-08,BTC,0.5724,0.3109
2023-06-09,BTC,0.0905,0.2564
2023-06-10,BTC,0.3143,0.368
2023-06-11,BTC,0.9365,0.3635
2023-06-12,BTC,0.2352,0.2723
2023-06-13,BTC,0.6528,0.2745
2023-06-14,BTC,0.3333,0.3648
2023-06-15,BTC,0.5105,0.4326
2023-06-16,BTC,0.7317,0.4108
2023-06-17,BTC,0.9511,0.4294
2023-06-18,BTC,0.8418,0.5853
2023-06-19,BTC,0.8669,0.5339
2023-06-20,BTC,0.8411,0.4019
2023-06-21,BTC,0.848,0.3566
2023-06-22,BTC,0.4508,0.4346
2023-06-23,BTC,0.5426,0.392
2023-06-24,BTC,0.9368,0.4769
2023-06-25,BTC,0.8765,0.6306
2023-06-26,BTC,0.6561,0.4776
2023-06-27,BTC,0.6767,0.3862
2023-06-28,BTC,0.7054,0.3664
2023-06-29,BTC,0.8128,0.3146
2023-06-30,BTC,0.9249,0.5313
2023-07-01,BTC,1.0188,0.523
2023-07-02,BTC,1.0167,0.5157
2023-07-03,BTC,0.6085,0.3533
2023-07-04,BTC,0.8556,0.439
2023-07-05,BTC,0.7249,0.3279
2023-07-06,BTC,1.0082,0.522
2023-07-07,BTC,0.7468,0.4085
2023-07-08,BTC,1.0547,0.5948
2023-07-09,BTC,0.95,0.5137
2023-07-10,BTC,0.8674,0.4464
2023-07-11,BTC,0.7856,0.3602
2023-07-12,BTC,0.5694,0.3079
2023-07-13,BTC,0.5377,0.2843
2023-07-14,BTC,0.5456,0.3664
2023-07-15,BTC,0.8027,0.5871
2023-07-16,BTC,0.8837,0.379
2023-07-17,BTC,0.7271,0.2402
2023-07-18,BTC,0.679,0.2994
2023-07-19,BTC,0.9542,0.3384
2023-07-20,BTC,0.7254,0.3024
2023-07-21,BTC,0.5034,0.3425
2023-07-22,BTC,0.723,0.398
2023-07-23,BTC,0.8538,0.467
2023-07-24,BTC,0.6498,0.3594
2023-07-25,BTC,0.8188,0.2703
2023-07-26,BTC,0.3181,0.0984
2023-07-27,BTC,-0.4975,0.0885
2023-07-28,BTC,0.3087,0.1164
2023-07-29,BTC,0.9682,0.2567
2023-07-30,BTC,1.1107,0.3737
2023-07-31,BTC,0.2869,0.2527
2023-08-01,BTC,0.0098,0.1419
